picture_file_nv,n_en,n_de,n_fr,adj_en,adj_de,adj_fr,continue_text_de,continue_text_en,continue_text_fr,n_foil_en,n_foil_de,n_foil_fr,correct_noun,ver_n_de,ver_n_en,ver_n_fr
"PICTURE_319_LITTLE.jpg","cow","Kuh","vache","little","kleine","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","man","Mann","homme",FALSE,"Mann","man","homme"
"PICTURE_680_OLD.jpg","bow","Bogen","arc","old","alter","vieil","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","snail","Schnecke","escargot",FALSE,"Schnecke","snail","escargot"
"PICTURE_579_OLD.jpg","elephant","Elefant","éléphant","old","alter","vieil","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","bottle","Flasche","bouteille",FALSE,"Flasche","bottle","bouteille"
"PICTURE_152_OLD.jpg","snail","Schnecke","escargot","old","alte","vieil","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","ostrich","Strauß","autruche",FALSE,"Strauß","ostrich","autruche"
"PICTURE_365_OLD.jpg","hedgehog","Igel","hérisson","old","alter","vieil","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","pipe","Pfeife","pipe",FALSE,"Pfeife","pipe","pipe"
"PICTURE_115_OLD.jpg","hippo","Nilpferd","hippopotame","old","altes","vieil","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","man","Mann","homme",FALSE,"Mann","man","homme"
"PICTURE_691_OLD.jpg","man","Mann","homme","old","alter","vieil","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","ear","Ohr","oreille",FALSE,"Ohr","ear","oreille"
"PICTURE_241_OLD.jpg","eye","Auge","oeil","old","altes","vieil","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","bottle","Flasche","bouteille",FALSE,"Flasche","bottle","bouteille"
"PICTURE_196_OLD.jpg","computer","Computer","ordinateur","old","alter","vieil","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","present","Geschenk","cadeau",FALSE,"Geschenk","present","cadeau"
"PICTURE_405_OLD.jpg","anchor","Anker","ancre","old","alter","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","computer","Computer","ordinateur",FALSE,"Computer","computer","ordinateur"
"PICTURE_38_OLD.jpg","spider","Spinne","araignée","old","alte","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","hippo","Nilpferd","hippopotame",FALSE,"Nilpferd","hippo","hippopotame"
"PICTURE_299_OLD.jpg","ostrich","Strauß","autruche","old","alter","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","spider","Spinne","araignée",FALSE,"Spinne","spider","araignée"
"PICTURE_343_OLD.jpg","bottle","Flasche","bouteille","old","alte","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","butterfly","Schmetterling","papillon",FALSE,"Schmetterling","butterfly","papillon"
"PICTURE_569_OLD.jpg","tooth","Zahn","dent","old","alter","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","snail","Schnecke","escargot",FALSE,"Schnecke","snail","escargot"
"PICTURE_9_OLD.jpg","shower","Dusche","douche","old","alte","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","bow","Bogen","arc",FALSE,"Bogen","bow","arc"
"PICTURE_447_OLD.jpg","star","Stern","étoile","old","alter","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","spider","Spinne","araignée",FALSE,"Spinne","spider","araignée"
"PICTURE_585_OLD.jpg","ant","Ameise","fourmi","old","alte","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","island","Insel","île",FALSE,"Insel","island","île"
"PICTURE_236_OLD.jpg","giraffe","Giraffe","girafe","old","alte","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","tooth","Zahn","dent",FALSE,"Zahn","tooth","dent"
"PICTURE_605_OLD.jpg","harp","Harfe","harpe","old","alte","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","face","Gesicht","visage",FALSE,"Gesicht","face","visage"
"PICTURE_260_OLD.jpg","island","Insel","île","old","alte","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","leg","Bein","jambe",FALSE,"Bein","leg","jambe"
"PICTURE_580_OLD.jpg","nurse","Krankenschwester","infirmière","old","alte","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","tooth","Zahn","dent",FALSE,"Zahn","tooth","dent"
"PICTURE_8_OLD.jpg","leg","Bein","jambe","old","altes","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","bow","Bogen","arc",FALSE,"Bogen","bow","arc"
"PICTURE_35_OLD.jpg","ear","Ohr","oreille","old","altes","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","ostrich","Strauß","autruche",FALSE,"Strauß","ostrich","autruche"
"PICTURE_148_OLD.jpg","pipe","Pfeife","pipe","old","alte","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","cucumber","Gurke","concombre",FALSE,"Gurke","cucumber","concombre"
"PICTURE_319_OLD.jpg","cow","Kuh","vache","old","alte","vieille","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","ear","Ohr","oreille",FALSE,"Ohr","ear","oreille"
"PICTURE_338_OLD.jpg","present","Geschenk","cadeau","old","altes","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","cucumber","Gurke","concombre",FALSE,"Gurke","cucumber","concombre"
"PICTURE_707_OLD.jpg","dog","Hund","chien","old","alter","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","computer","Computer","ordinateur",FALSE,"Computer","computer","ordinateur"
"PICTURE_559_OLD.jpg","cucumber","Gurke","concombre","old","alte","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","anchor","Anker","ancre",FALSE,"Anker","anchor","ancre"
"PICTURE_17_OLD.jpg","devil","Teufel","diable","old","alter","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","drawer","Schublade","tiroir",FALSE,"Schublade","drawer","tiroir"
"PICTURE_487_OLD.jpg","basket","Korb","panier","old","alter","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","hedgehog","Igel","hérisson",FALSE,"Igel","hedgehog","hérisson"
"PICTURE_351_OLD.jpg","butterfly","Schmetterling","papillon","old","alter","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","bow","Bogen","arc",FALSE,"Bogen","bow","arc"
"PICTURE_661_OLD.jpg","drawer","Schublade","tiroir","old","alte","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","nurse","Krankenschwester","infirmière",FALSE,"Krankenschwester","nurse","infirmière"
"PICTURE_510_OLD.jpg","face","Gesicht","visage","old","altes","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","elephant","Elefant","éléphant",FALSE,"Elefant","elephant","éléphant"
